Subject,ROI,Cluster,ACW_s,ACW_grand_mean_s,Condition
sub-006,middletemporal-lh,1,0.0571609555984556,0.05562121577746578,EO
sub-006,middletemporal-rh,1,0.04174710424710425,0.05562121577746578,EO
sub-006,parsopercularis-lh,3,0.10711269305019305,0.05562121577746578,EO
sub-006,parsopercularis-rh,3,0.03882118725868726,0.05562121577746578,EO
sub-006,parsorbitalis-lh,3,0.057462596525096526,0.05562121577746578,EO
sub-006,parsorbitalis-rh,3,0.022894546332046333,0.05562121577746578,EO
sub-006,parstriangularis-lh,3,0.060629826254826255,0.05562121577746578,EO
sub-006,parstriangularis-rh,3,0.015293194980694981,0.05562121577746578,EO
sub-006,pericalcarine-lh,1,0.04847369691119691,0.05562121577746578,EO
sub-006,pericalcarine-rh,1,0.029711631274131275,0.05562121577746578,EO
sub-006,posteriorcingulate-lh,2,0.04219956563706564,0.05562121577746578,EO
sub-006,posteriorcingulate-rh,2,0.036317567567567564,0.05562121577746578,EO
sub-006,precentral-lh,3,0.08617881274131274,0.05562121577746578,EO
sub-006,precentral-rh,3,0.046875,0.05562121577746578,EO
sub-006,precuneus-lh,2,0.044944498069498066,0.05562121577746578,EO
sub-006,precuneus-rh,2,0.033331322393822395,0.05562121577746578,EO
sub-006,rostralmiddlefrontal-lh,3,0.0390625,0.05562121577746578,EO
sub-006,rostralmiddlefrontal-rh,3,0.06165540540540541,0.05562121577746578,EO
sub-006,superiorfrontal-lh,3,0.05052485521235521,0.05562121577746578,EO
sub-006,superiorfrontal-rh,3,0.06183638996138996,0.05562121577746578,EO
sub-006,superiorparietal-lh,2,0.048081563706563704,0.05562121577746578,EO
sub-006,superiorparietal-rh,2,0.05004222972972973,0.05562121577746578,EO
sub-006,supramarginal-lh,2,0.06228885135135135,0.05562121577746578,EO
sub-006,supramarginal-rh,2,0.09839527027027027,0.05562121577746578,EO
sub-007,bankssts-lh,1,0.0116015625,0.01642578125,EO
sub-007,bankssts-rh,1,0.0178515625,0.01642578125,EO
sub-007,caudalmiddlefrontal-lh,3,0.030546875,0.01642578125,EO
